animal,day,trial,shadowON-abs,escape-rel,hide-rel,shadowOFF-rel
m971,day1,1,654.8,3.461217681401168,4.26188490408674,6.063386155129276
m971,day1,2,859.05,3.4111759799833195,4.1117597998331945,6.21351125938282
m971,day1,3,1153.3,3.2110091743119273,4.1117597998331945,6.063386155129276
m971,day1,4,1378.15,3.261050875729776,3.961634695579651,6.363636363636363
m971,day1,5,1625.4,3.6113427856547133,4.412010008340284,6.363636363636363
m971,day1,6,2200.7,2.760633861551293,3.361134278565471,6.5137614678899105
m971,day1,7,2868.2,2.8106755629691413,3.5112593828190164,6.964136780650541
m971,day1,8,3045.55,3.0108423686405335,3.8115095913261055,7.114261884904089
m971,day1,9,3497.6,2.6105087572977492,3.2110091743119273,7.86488740617181
m971,day1,10,4025.05,2.460383653044204,3.060884070058382,8.165137614678901
m966,day1,1,643.6,3.7114261884904085,4.1117597998331945,8.76563803169308
m966,day1,2,1210.15,3.060884070058382,3.66138448707256,10.567139282735614
m966,day1,3,1438.45,3.3110925771476243,3.8115095913261055,11.317764804003335
m966,day1,4,1683.5,3.66138448707256,4.26188490408674,11.918265221017514
m966,day1,5,1909.35,4.5120934111759805,5.613010842368642,12.668890742285239
m966,day1,6,2246.6,3.8115095913261055,4.412010008340284,13.41951626355296
m966,day1,7,2669.4,3.8115095913261055,4.412010008340284,14.170141784820686
m966,day1,8,2921.0,5.262718932443704,5.763135946622185,14.920767306088408
m966,day1,9,3238.9,4.26188490408674,4.862385321100918,15.67139282735613
m966,day1,10,3444.3,n/a,n/a,16.27189324437031
m973,day1,1,645.8,2.9608006672226868,3.66138448707256,6.063386155129276
m973,day1,2,947.15,3.060884070058382,3.66138448707256,6.063386155129276
m973,day1,3,1138.05,3.361134278565471,3.961634695579651,6.063386155129276
m973,day1,4,1578.9,3.861551292743954,4.562135112593829,6.21351125938282
m973,day1,5,1889.75,3.1109257714762304,3.8115095913261055,6.363636363636363
m973,day1,6,2131.95,2.760633861551293,3.361134278565471,6.5137614678899105
m973,day1,7,2622.1,3.0108423686405335,3.8115095913261055,6.663886572143454
m973,day1,8,2836.6,2.9107589658048383,3.5112593828190164,7.264386989157632
m973,day1,9,3035.8,4.762301918265221,5.462885738115096,7.714762301918267
m973,day1,10,3512.85,4.311926605504588,5.012510425354462,8.165137614678901
m968,day1,1,787.75,3.261050875729776,3.66138448707256,6.063386155129276
m968,day1,2,1259.9,2.7105921601334444,3.2110091743119273,6.063386155129276
m968,day1,3,1605.85,2.86071726438699,3.66138448707256,6.21351125938282
m968,day1,4,1856.1,2.6105087572977492,3.2110091743119273,6.363636363636363
m968,day1,5,2059.15,2.9107589658048383,3.2110091743119273,6.363636363636363
m968,day1,6,2475.7,2.660550458715596,3.361134278565471,6.5137614678899105
m968,day1,7,2841.5,2.660550458715596,3.361134278565471,6.663886572143454
m968,day1,8,3130.85,2.760633861551293,3.66138448707256,7.114261884904089
m971,day3,1,687.1,1.6096747289407851,2.6105087572977492,5.913261050875731
m971,day3,2,928.9,3.160967472894079,3.961634695579651,6.063386155129276
m971,day3,3,1172.15,3.0108423686405335,3.8115095913261055,5.913261050875731
m971,day3,4,1428.45,2.3102585487906584,3.2110091743119273,5.913261050875731
m971,day3,5,1633.2,2.8106755629691413,3.5112593828190164,5.913261050875731
m971,day3,6,1836.75,2.660550458715596,3.060884070058382,5.913261050875731
m971,day3,7,2018.1,3.261050875729776,3.66138448707256,5.913261050875731
m971,day3,8,2172.35,n/a,n/a,5.913261050875731
m971,day3,9,2379.75,3.1109257714762304,3.8115095913261055,5.913261050875731
m971,day3,10,2555.9,3.2110091743119273,3.8115095913261055,6.063386155129276
m966,day3,1,863.55,2.6105087572977492,3.5112593828190164,5.913261050875731
m966,day3,2,1064.35,2.760633861551293,3.361134278565471,5.913261050875731
m966,day3,3,1246.8,1.2593828190158476,1.8598832360300257,5.913261050875731
m966,day3,4,1416.1,2.4103419516263553,2.9107589658048383,5.913261050875731
m966,day3,5,1750.9,3.561301084236865,3.961634695579651,6.063386155129276
m966,day3,6,1939.4,2.760633861551293,3.361134278565471,6.063386155129276
m966,day3,7,2095.75,2.86071726438699,3.66138448707256,5.913261050875731
m966,day3,8,2293.95,2.8106755629691413,3.5112593828190164,5.913261050875731
m966,day3,9,2581.25,2.0100083402835693,2.6105087572977492,6.063386155129276
m966,day3,10,2839.15,0.8090075062552131,3.2110091743119273,5.913261050875731
